Screening and Risk Factors, US by County (UV Only), UV Exposure Data, Ultraviolet Exposure
Area,County FIPS,Watt-Hours Per Square Meter
"Archer, Texas","48009","4946"
"Blanco, Texas","48031","4946"
"Jackson, Oklahoma","40065","4946"
"Hemphill, Texas","48211","4944"
"Burnet, Texas","48053","4941"
"Hood, Texas","48221","4941"
"Seward, Kansas","20175","4940"
"Garfield, Utah","49017","4939"
"Somervell, Texas","48425","4938"
"Greer, Oklahoma","40055","4937"
"Grant, Kansas","20067","4937"
"Beaver, Oklahoma","40007","4937"
"Custer, Colorado","8027","4936"
"Webb, Texas","48479","4934"
"Prowers, Colorado","8099","4934"
"Alpine, California","6003","4934"
"Lipscomb, Texas","48295","4932"
"Jack, Texas","48237","4932"
"La Salle, Texas","48283","4931"
"Bexar, Texas","48029","4930"
"Parker, Texas","48367","4929"
"Beckham, Oklahoma","40009","4927"
"Wichita, Texas","48485","4926"
"Placer, California","6061","4924"
"Delta, Colorado","8029","4922"
"Tillman, Oklahoma","40141","4921"
"Grand, Utah","49019","4921"
"Crowley, Colorado","8025","4918"
"Coryell, Texas","48099","4918"
"Bosque, Texas","48035","4918"
"Wayne, Utah","49055","4916"
"Haskell, Kansas","20081","4916"
"Comal, Texas","48091","4913"
"Meade, Kansas","20119","4913"
"Hamilton, Kansas","20075","4912"
"Roger Mills, Oklahoma","40129","4911"
"Mesa, Colorado","8077","4911"
"Clay, Texas","48077","4905"
"Wise, Texas","48497","4903"
"Johnson, Texas","48251","4902"
"Zapata, Texas","48505","4899"
"Kearny, Kansas","20093","4898"
"Tarrant, Texas","48439","4898"
"Ellis, Oklahoma","40045","4898"
"Nevada, California","6057","4895"
"Kiowa, Oklahoma","40075","4895"
"Hays, Texas","48209","4888"
"Cotton, Oklahoma","40033","4887"
"Yuba, California","6115","4884"
"Gray, Kansas","20069","4883"
"Harper, Oklahoma","40059","4882"
"Atascosa, Texas","48013","4882"
"Montague, Texas","48337","4879"
"Washita, Oklahoma","40149","4877"
"Clark, Kansas","20025","4876"
"Monroe, Florida","12087","4874"
"Kiowa, Colorado","8061","4873"
"Finney, Kansas","20055","4873"
"Hill, Texas","48217","4872"
"Santa Clara, California","6085","4871"
"Denton, Texas","48121","4870"
"Comanche, Oklahoma","40031","4869"
"Travis, Texas","48453","4869"
"Fremont, Colorado","8043","4868"
"Sierra, California","6091","4865"
"Sarasota, Florida","12115","4865"
"Bell, Texas","48027","4865"
"Custer, Oklahoma","40039","4863"
"Jefferson, Oklahoma","40067","4862"
"Lee, Florida","12071","4862"
"McLennan, Texas","48309","4861"
"Charlotte, Florida","12015","4859"
"Manatee, Florida","12081","4858"
"Collier, Florida","12021","4858"
"Williamson, Texas","48491","4857"
"Miami-Dade, Florida","12086","4855"
"Dallas, Texas","48113","4854"
"Millard, Utah","49027","4854"
"Greeley, Kansas","20071","4853"
"Woodward, Oklahoma","40153","4853"
"Gunnison, Colorado","8051","4853"
"DeSoto, Florida","12027","4852"
"Ellis, Texas","48139","4850"
"White Pine, Nevada","32033","4849"
"Hardee, Florida","12049","4848"
"Guadalupe, Texas","48187","4848"
"Ford, Kansas","20057","4848"
"Cooke, Texas","48097","4848"
"Sutter, California","6101","4847"
"Hillsborough, Florida","12057","4847"
"Pinellas, Florida","12103","4846"
"Emery, Utah","49015","4846"
"Dewey, Oklahoma","40043","4845"
"Wichita, Kansas","20203","4845"
"Starr, Texas","48427","4844"
"Piute, Utah","49031","4842"
"McMullen, Texas","48311","4838"
"Stephens, Oklahoma","40137","4836"
"Polk, Florida","12105","4836"
"Hendry, Florida","12051","4836"
"Caddo, Oklahoma","40015","4835"
"Wilson, Texas","48493","4834"
"Scott, Kansas","20171","4833"
"Love, Oklahoma","40085","4832"
"Highlands, Florida","12055","4831"
"Pasco, Florida","12101","4830"
"Glades, Florida","12043","4828"
"Lander, Nevada","32015","4827"
"Alameda, California","6001","4825"
"Pershing, Nevada","32027","4825"
"Comanche, Kansas","20033","4823"
"Osceola, Florida","12097","4822"
"Washoe, Nevada","32031","4821"
"Hodgeman, Kansas","20083","4821"
"Collin, Texas","48085","4821"
"Broward, Florida","12011","4820"
"Contra Costa, California","6013","4820"
"Santa Cruz, California","6087","4819"
"Orange, Florida","12095","4819"
"Solano, California","6095","4818"
"Hernando, Florida","12053","4815"
"Seminole, Florida","12117","4815"
"Rockwall, Texas","48397","4815"
"Jim Hogg, Texas","48247","4814"
"Lane, Kansas","20101","4813"
"Carter, Oklahoma","40019","4812"
"Caldwell, Texas","48055","4810"
"Okeechobee, Florida","12093","4809"
"Sumter, Florida","12119","4808"
"Lake, Florida","12069","4808"
"Falls, Texas","48145","4808"
"Grayson, Texas","48181","4807"
"Brevard, Florida","12009","4807"
"Navarro, Texas","48349","4807"
"Grady, Oklahoma","40051","4806"
"Kaufman, Texas","48257","4804"
"Woods, Oklahoma","40151","4803"
"Blaine, Oklahoma","40011","4802"
"Cheyenne, Colorado","8017","4802"
"Yolo, California","6113","4800"
"Wallace, Kansas","20199","4797"
"Indian River, Florida","12061","4797"
"Kiowa, Kansas","20097","4796"
"Volusia, Florida","12127","4795"
"Sevier, Utah","49041","4794"
"Plumas, California","6063","4794"
"Palm Beach, Florida","12099","4793"
"Citrus, Florida","12017","4793"
"Major, Oklahoma","40093","4791"
"Marshall, Oklahoma","40095","4789"
"Eureka, Nevada","32011","4789"
"Logan, Kansas","20109","4788"
"Butte, California","6007","4786"
"St. Lucie, Florida","12111","4785"
"Hidalgo, Texas","48215","4782"
"Martin, Florida","12085","4782"
"Ness, Kansas","20135","4782"
"Limestone, Texas","48293","4782"
"Duval, Texas","48131","4781"
"Garvin, Oklahoma","40049","4780"
"Canadian, Oklahoma","40017","4780"
"Edwards, Kansas","20047","4777"
"Hunt, Texas","48231","4777"
"Milam, Texas","48331","4775"
"Bastrop, Texas","48021","4773"
"Murray, Oklahoma","40099","4773"
"Chaffee, Colorado","8015","4770"
"McClain, Oklahoma","40087","4769"
"Lassen, California","6035","4766"
"Marion, Florida","12083","4765"
"Gove, Kansas","20063","4763"
"Fannin, Texas","48147","4761"
"Karnes, Texas","48255","4760"
"Flagler, Florida","12035","4757"
"Van Zandt, Texas","48467","4757"
"Rains, Texas","48379","4755"
"Kingfisher, Oklahoma","40073","4755"
"Lincoln, Colorado","8073","4755"
"Johnston, Oklahoma","40069","4755"
"Bryan, Oklahoma","40013","4753"
"Barber, Kansas","20007","4753"
"Live Oak, Texas","48297","4752"
"Gonzales, Texas","48177","4752"
"Henderson, Texas","48213","4751"
"Uintah, Utah","49047","4750"
"Freestone, Texas","48161","4749"
"Levy, Florida","12075","4747"
"Pawnee, Kansas","20145","4746"
"Alfalfa, Oklahoma","40003","4745"
"Garfield, Colorado","8045","4744"
"Brooks, Texas","48047","4743"
"Cleveland, Oklahoma","40027","4743"
"El Paso, Colorado","8041","4738"
"Cameron, Texas","48061","4736"
"Delta, Texas","48119","4734"
"Juab, Utah","49023","4733"
"Hopkins, Texas","48223","4731"
"Sherman, Kansas","20181","4731"
"San Mateo, California","6081","4729"
"Trego, Kansas","20195","4728"
"Carbon, Utah","49007","4728"
"Robertson, Texas","48395","4728"
"Lee, Texas","48287","4728"
"Pratt, Kansas","20151","4725"
"Putnam, Florida","12107","4725"
"Kit Carson, Colorado","8063","4724"
"Oklahoma, Oklahoma","40109","4724"
"Rio Blanco, Colorado","8103","4724"
"Rush, Kansas","20165","4723"
"Dixie, Florida","12029","4723"
"Pontotoc, Oklahoma","40123","4721"
"Wood, Texas","48499","4720"
"Thomas, Kansas","20193","4719"
"Willacy, Texas","48489","4715"
"Sanpete, Utah","49039","4714"
"Lamar, Texas","48277","4714"
"Anderson, Texas","48001","4712"
"Alachua, Florida","12001","4709"
"Gilchrist, Florida","12041","4709"
"Jim Wells, Texas","48249","4707"
"Coal, Oklahoma","40029","4707"
"Smith, Texas","48423","4706"
"Pottawatomie, Oklahoma","40125","4705"
"Atoka, Oklahoma","40005","4703"
"Franklin, Texas","48159","4703"
"Garfield, Oklahoma","40047","4702"
"Franklin, Florida","12037","4701"
"Logan, Oklahoma","40083","4701"
"Sheridan, Kansas","20179","4699"
"Taylor, Florida","12123","4699"
"Wakulla, Florida","12129","4698"
"St. Johns, Florida","12109","4697"
"San Francisco, California","6075","4697"
"Stafford, Kansas","20185","4696"
"Leon, Texas","48289","4696"
"Choctaw, Oklahoma","40023","4695"
"Lafayette, Florida","12067","4694"
"DeWitt, Texas","48123","4689"
"Camp, Texas","48063","4689"
"Liberty, Florida","12077","4688"
"Pitkin, Colorado","8097","4688"
"Burleson, Texas","48051","4687"
"Leon, Florida","12073","4686"
"Upshur, Texas","48459","4686"
"Gulf, Florida","12045","4686"
"Titus, Texas","48449","4684"
"Ellis, Kansas","20051","4684"
"Bee, Texas","48025","4683"
"Jefferson, Florida","12065","4683"
"Cherokee, Texas","48073","4681"
"Fayette, Texas","48149","4681"
"Gadsden, Florida","12039","4679"
"Harper, Kansas","20077","4678"
"Modoc, California","6049","4678"
"Kenedy, Texas","48261","4678"
"Gregg, Texas","48183","4678"
"Red River, Texas","48387","4677"
"Seminole, Oklahoma","40133","4676"
"Calhoun, Florida","12013","4675"
"Bradford, Florida","12007","4675"
"Grant, Oklahoma","40053","4674"
"Graham, Kansas","20065","4673"
"Decatur, Georgia","13087","4673"
"Suwannee, Florida","12121","4673"
"Seminole, Georgia","13253","4672"
"Madison, Florida","12079","4672"
"Clay, Florida","12019","4672"
"Napa, California","6055","4671"
"Grady, Georgia","13131","4669"
"Cheyenne, Kansas","20023","4669"
"Morris, Texas","48343","4669"
"Teller, Colorado","8119","4669"
"Union, Florida","12125","4668"
"Miller, Georgia","13201","4667"
"Jackson, Florida","12063","4667"
"Rusk, Texas","48401","4667"
"Colusa, California","6011","4664"
"Barton, Kansas","20009","4664"
"Thomas, Georgia","13275","4663"
"Baker, Georgia","13007","4662"
"Early, Georgia","13099","4662"
"Bay, Florida","12005","4660"
"Columbia, Florida","12023","4659"
"Moffat, Colorado","8081","4659"
"Mitchell, Georgia","13205","4659"
"Houston, Alabama","1069","4658"
"Brazos, Texas","48041","4657"
"Calhoun, Georgia","13037","4657"
"Humboldt, Nevada","32013","4657"
"Goliad, Texas","48175","4656"
"Houston, Texas","48225","4656"
"Hughes, Oklahoma","40063","4656"
"Elbert, Colorado","8039","4656"
"Rawlins, Kansas","20153","4656"
"Lincoln, Oklahoma","40081","4655"
"Clay, Georgia","13061","4655"
"Kingman, Kansas","20095","4655"
"Brooks, Georgia","13027","4655"
"Washington, Florida","12133","4652"
"Henry, Alabama","1067","4652"
"Dougherty, Georgia","13095","4652"
"Madison, Texas","48313","4651"
"Hamilton, Florida","12047","4650"
"Randolph, Georgia","13243","4649"
"Marion, Texas","48315","4649"
"Quitman, Georgia","13239","4649"
"Harrison, Texas","48203","4649"
"Nacogdoches, Texas","48347","4648"
"Pushmataha, Oklahoma","40127","4647"
"Colquitt, Georgia","13071","4647"
"Terrell, Georgia","13273","4647"
"Kleberg, Texas","48273","4646"
"Panola, Texas","48365","4645"
"Cass, Texas","48067","4644"
"Lowndes, Georgia","13185","4644"
"Dale, Alabama","1045","4644"
"Lee, Georgia","13177","4643"
"Bowie, Texas","48037","4642"
"Barbour, Alabama","1005","4642"
"Holmes, Florida","12059","4642"
"Stewart, Georgia","13259","4641"
"Park, Colorado","8093","4641"
"Lavaca, Texas","48285","4641"
"Worth, Georgia","13321","4639"
"Webster, Georgia","13307","4639"
"Baker, Florida","12003","4639"
"Decatur, Kansas","20039","4638"
"Cook, Georgia","13075","4638"
"Geneva, Alabama","1061","4638"
"Tooele, Utah","49045","4637"
"Rooks, Kansas","20163","4637"
"Echols, Georgia","13101","4636"
"Duval, Florida","12031","4635"
"Utah, Utah","49049","4635"
"Sumter, Georgia","13261","4635"
"Chattahoochee, Georgia","13053","4635"
"Russell, Alabama","1113","4635"
"Shelby, Texas","48419","4634"
"Noble, Oklahoma","40103","4634"
"Duchesne, Utah","49013","4633"
"Pittsburg, Oklahoma","40121","4632"
"Payne, Oklahoma","40119","4631"
"Angelina, Texas","48005","4631"
"Tift, Georgia","13277","4631"
"McCurtain, Oklahoma","40089","4631"
"Schley, Georgia","13249","4630"
"Yuma, Colorado","8125","4630"
"Russell, Kansas","20167","4630"
"Muscogee, Georgia","13215","4629"
"Bullock, Alabama","1011","4629"
"Crisp, Georgia","13081","4628"
"Coffee, Alabama","1031","4628"
"Marion, Georgia","13197","4628"
"Lanier, Georgia","13173","4628"
"Berrien, Georgia","13019","4627"
"Turner, Georgia","13287","4627"
"Pike, Alabama","1109","4626"
"Lake, Colorado","8065","4625"
"Nueces, Texas","48355","4625"
"San Augustine, Texas","48405","4625"
"Macon, Georgia","13193","4624"
"Little River, Arkansas","5081","4624"
"Dooly, Georgia","13093","4623"
"Caddo, Louisiana","22017","4622"
"Walton, Florida","12131","4621"
"Washington, Texas","48477","4621"
"Okfuskee, Oklahoma","40107","4621"
"Douglas, Colorado","8035","4621"
"Taylor, Georgia","13269","4621"
"Trinity, Texas","48455","4621"
"Clinch, Georgia","13065","4620"
"Reno, Kansas","20155","4620"
"Macon, Alabama","1087","4620"
"Irwin, Georgia","13155","4619"
"Daggett, Utah","49009","4619"
"De Soto, Louisiana","22031","4618"
"Talbot, Georgia","13263","4617"
"Wilcox, Georgia","13315","4617"
"Sabine, Texas","48403","4616"
"Norton, Kansas","20137","4616"
"San Patricio, Texas","48409","4615"
"Ben Hill, Georgia","13017","4615"
"Miller, Arkansas","5091","4615"
"Atkinson, Georgia","13003","4614"
"Pulaski, Georgia","13235","4614"
"Crawford, Georgia","13079","4613"
"Sevier, Arkansas","5133","4612"
"Peach, Georgia","13225","4612"
"Houston, Georgia","13153","4612"
"Sabine, Louisiana","22085","4611"
"Nassau, Florida","12089","4611"
"Dundy, Nebraska","31057","4610"
"Bossier, Louisiana","22015","4610"
"Montgomery, Alabama","1101","4610"
"Harris, Georgia","13145","4610"
"Eagle, Colorado","8037","4609"
"Washington, Colorado","8121","4609"
"Lee, Alabama","1081","4609"
"Upson, Georgia","13293","4609"
"Arapahoe, Colorado","8005","4608"
"Beaufort, South Carolina","45013","4608"
"Coffee, Georgia","13069","4608"
"Charlton, Georgia","13049","4607"
"Crenshaw, Alabama","1041","4607"
"Chatham, Georgia","13051","4607"
"Ware, Georgia","13299","4607"
"Rice, Kansas","20159","4606"
"Dodge, Georgia","13091","4606"
"Telfair, Georgia","13271","4606"
"Bibb, Georgia","13021","4606"
"Red River, Louisiana","22081","4606"
"Bleckley, Georgia","13023","4604"
"Monroe, Georgia","13207","4603"
"Lafayette, Arkansas","5073","4603"
"Latimer, Oklahoma","40077","4603"
"Jasper, South Carolina","45053","4602"
"McIntosh, Georgia","13191","4601"
"Charleston, South Carolina","45019","4601"
"Twiggs, Georgia","13289","4601"
"Victoria, Texas","48469","4601"
"Bryan, Georgia","13029","4601"
"Camden, Georgia","13039","4600"
"Webster, Louisiana","22119","4600"
"Lamar, Georgia","13171","4600"
"Liberty, Georgia","13179","4600"
"Natchitoches, Louisiana","22069","4599"
"Pike, Georgia","13231","4599"
"Wheeler, Georgia","13309","4599"
"Glynn, Georgia","13127","4599"
"Jeff Davis, Georgia","13161","4599"
"Grimes, Texas","48185","4598"
"Effingham, Georgia","13103","4598"
"Newton, Texas","48351","4598"
"Bacon, Georgia","13005","4598"
"Hitchcock, Nebraska","31087","4598"
"Laurens, Georgia","13175","4597"
"Beauregard, Louisiana","22011","4597"
"Covington, Alabama","1039","4597"
"Meriwether, Georgia","13199","4596"
"Vernon, Louisiana","22115","4596"
"Pierce, Georgia","13229","4596"
"Wilkinson, Georgia","13319","4596"
"Brantley, Georgia","13025","4595"
"Jones, Georgia","13169","4595"
"Marin, California","6041","4595"
"Sumner, Kansas","20191","4595"
"Denver, Colorado","8031","4595"
"Montgomery, Georgia","13209","4595"
"Long, Georgia","13183","4595"
"Appling, Georgia","13001","4595"
"Bienville, Louisiana","22013","4594"
"Jasper, Texas","48241","4594"
"Hempstead, Arkansas","5057","4593"
"Wayne, Georgia","13305","4593"
"Colleton, South Carolina","45029","4593"
"Toombs, Georgia","13279","4593"
"Tattnall, Georgia","13267","4592"
"Butts, Georgia","13035","4592"
"Treutlen, Georgia","13283","4592"
"Evans, Georgia","13109","4592"
"Howard, Arkansas","5061","4591"
"Spalding, Georgia","13255","4591"
"Bulloch, Georgia","13031","4591"
"Colorado, Texas","48089","4590"
"Sharkey, Mississippi","28125","4590"
"Osborne, Kansas","20141","4590"
"Baldwin, Georgia","13009","4590"
"Troup, Georgia","13285","4590"
"Columbia, Arkansas","5027","4590"
"Hampton, South Carolina","45049","4590"
"Calcasieu, Louisiana","22019","4589"
"Issaquena, Mississippi","28055","4589"
"Tyler, Texas","48457","4589"
"Candler, Georgia","13043","4589"
"Walker, Texas","48471","4589"
"Claiborne, Louisiana","22027","4589"
"Adams, Colorado","8001","4588"
"Johnson, Georgia","13167","4588"
"Kay, Oklahoma","40071","4588"
"Phillips, Kansas","20147","4588"
"Elmore, Alabama","1051","4588"
"Refugio, Texas","48391","4588"
"Jasper, Georgia","13159","4587"
"Dorchester, South Carolina","45035","4587"
"Emanuel, Georgia","13107","4587"
"East Carroll, Louisiana","22035","4587"
"Okaloosa, Florida","12091","4587"
"Lincoln, Louisiana","22061","4586"
"Winn, Louisiana","22127","4586"
"Humphreys, Mississippi","28053","4586"
"Yazoo, Mississippi","28163","4586"
"Jefferson, Colorado","8059","4585"
"West Carroll, Louisiana","22123","4585"
"Allen, Louisiana","22003","4585"
"Screven, Georgia","13251","4585"
"Berkeley, South Carolina","45015","4585"
"Washington, Georgia","13303","4584"
"Jackson, Louisiana","22049","4584"
"McIntosh, Oklahoma","40091","4584"
"Chambers, Alabama","1017","4584"
"Washington, Mississippi","28151","4584"
"Putnam, Georgia","13237","4583"
"Ouachita, Louisiana","22073","4583"
"Polk, Texas","48373","4583"
"Morehouse, Louisiana","22067","4583"
"Madison, Louisiana","22065","4583"
"Nevada, Arkansas","5099","4583"
"Union, Louisiana","22111","4583"
"Warren, Mississippi","28149","4583"
"Richland, Louisiana","22083","4582"
"Jenkins, Georgia","13165","4582"
"Chicot, Arkansas","5017","4582"
"Lowndes, Alabama","1085","4582"
"Red Willow, Nebraska","31145","4582"
"Grant, Louisiana","22043","4582"
"Union, Arkansas","5139","4581"
"Ellsworth, Kansas","20053","4581"
"Jefferson Davis, Louisiana","22053","4581"
"Creek, Oklahoma","40037","4580"
"Henry, Georgia","13151","4580"
"Butler, Alabama","1013","4579"
"Hinds, Mississippi","28049","4579"
"Allendale, South Carolina","45005","4579"
"Ashley, Arkansas","5003","4579"
"Fayette, Georgia","13113","4578"
"Le Flore, Oklahoma","40079","4578"
"Caldwell, Louisiana","22021","4578"
"Jefferson, Georgia","13163","4577"
"Sweetwater, Wyoming","56037","4577"
"Pawnee, Oklahoma","40117","4577"
"Hancock, Georgia","13141","4577"
"Glenn, California","6021","4576"
"Rapides, Louisiana","22079","4576"
"Franklin, Louisiana","22041","4576"
"Ouachita, Arkansas","5103","4576"
"Sunflower, Mississippi","28133","4575"
"Haskell, Oklahoma","40061","4575"
"Wasatch, Utah","49051","4575"
"Burke, Georgia","13033","4574"
"Tallapoosa, Alabama","1123","4574"
