Demographics, US by County, Population, White (Both Sexes - 2014 to 2018), 2014 - 2018
Area,County FIPS,Percent
"Blaine, Nebraska","31009","100.0"
"Magoffin, Kentucky","21153","99.9"
"Garfield, Montana","30033","99.9"
"Camas, Idaho","16025","99.8"
"Loup, Nebraska","31115","99.7"
"Edwards, Texas","48137","99.7"
"Webster, West Virginia","54101","99.7"
"Hitchcock, Nebraska","31087","99.6"
"Jackson, Kentucky","21109","99.6"
"Craig, Virginia","51045","99.6"
"Deuel, South Dakota","46039","99.6"
"Hanson, South Dakota","46061","99.6"
"Franklin, Indiana","18047","99.5"
"Highland, Virginia","51091","99.5"
"Menifee, Kentucky","21165","99.4"
"Steele, North Dakota","38091","99.4"
"Wibaux, Montana","30109","99.3"
"Pickett, Tennessee","47137","99.3"
"Clay, West Virginia","54015","99.3"
"Chase, Nebraska","31029","99.2"
"Butte, Idaho","16023","99.2"
"Campbell, South Dakota","46021","99.2"
"Calhoun, West Virginia","54013","99.2"
"Dundy, Nebraska","31057","99.2"
"Big Stone, Minnesota","27011","99.1"
"Lucas, Iowa","19117","99.1"
"Robertson, Kentucky","21201","99.1"
"King, Texas","48269","99.1"
"Carroll, Iowa","19027","99.1"
"Piute, Utah","49031","99.0"
"Catron, New Mexico","35003","99.0"
"Nance, Nebraska","31125","99.0"
"Ritchie, West Virginia","54085","99.0"
"Real, Texas","48385","99.0"
"Valley, Idaho","16085","98.9"
"Perkins, Nebraska","31135","98.9"
"Jim Hogg, Texas","48247","98.9"
"Pleasants, West Virginia","54073","98.8"
"Wolfe, Kentucky","21237","98.8"
"Douglas, Missouri","29067","98.8"
"Wheeler, Nebraska","31183","98.8"
"Liberty, Montana","30051","98.8"
"Musselshell, Montana","30065","98.8"
"Hooker, Nebraska","31091","98.7"
"Pocahontas, West Virginia","54075","98.7"
"Lincoln, West Virginia","54043","98.7"
"San Juan, Colorado","8111","98.7"
"Prairie, Montana","30079","98.7"
"Logan, North Dakota","38047","98.7"
"Sierra, California","6091","98.6"
"Jones, South Dakota","46075","98.6"
"Logan, Nebraska","31113","98.6"
"Hand, South Dakota","46059","98.6"
"Florence, Wisconsin","55037","98.6"
"Keya Paha, Nebraska","31103","98.5"
"McMullen, Texas","48311","98.5"
"Holmes, Ohio","39075","98.4"
"Boone, Nebraska","31011","98.4"
"Hayes, Nebraska","31085","98.4"
"Dickenson, Virginia","51051","98.4"
"Shelby, Illinois","17173","98.3"
"Adams, Iowa","19003","98.3"
"Grant, Nebraska","31075","98.3"
"Mills, Texas","48333","98.3"
"Daniels, Montana","30019","98.3"
"Garden, Nebraska","31069","98.3"
"Grundy, Iowa","19075","98.3"
"Maries, Missouri","29125","98.3"
"Valley, Nebraska","31175","98.2"
"Garfield, Nebraska","31071","98.2"
"Owsley, Kentucky","21189","98.2"
"Howard, Iowa","19089","98.2"
"Scott, Illinois","17171","98.2"
"Monroe, Ohio","39111","98.2"
"Wirt, West Virginia","54105","98.2"
"Martin, Indiana","18101","98.1"
"Rock, Nebraska","31149","98.1"
"Petroleum, Montana","30069","98.1"
"Rockcastle, Kentucky","21203","98.1"
"Sheridan, North Dakota","38083","98.1"
"Washington, Indiana","18175","98.1"
"Chickasaw, Iowa","19037","98.0"
"Gosper, Nebraska","31073","98.0"
"Davis, Iowa","19051","98.0"
"Franklin, Nebraska","31061","98.0"
"Sheridan, Kansas","20179","98.0"
"Grant, North Dakota","38037","98.0"
"Cedar, Nebraska","31027","98.0"
"Sherman, Nebraska","31163","98.0"
"Pepin, Wisconsin","55091","98.0"
"Scott, Tennessee","47151","98.0"
"Tyler, West Virginia","54095","98.0"
"Scott, Virginia","51169","98.0"
"Elk, Pennsylvania","42047","98.0"
"Moultrie, Illinois","17139","98.0"
"Boone, West Virginia","54005","97.9"
"Jefferson, Pennsylvania","42065","97.9"
"Braxton, West Virginia","54007","97.9"
"Fillmore, Minnesota","27045","97.9"
"Letcher, Kentucky","21133","97.9"
"Knott, Kentucky","21119","97.9"
"Borden, Texas","48033","97.9"
"White, Illinois","17193","97.9"
"Granite, Montana","30039","97.9"
"Edmunds, South Dakota","46045","97.9"
"Osage, Missouri","29151","97.9"
"Kingsbury, South Dakota","46077","97.9"
"LaGrange, Indiana","18087","97.9"
"Wells, North Dakota","38103","97.8"
"Hamilton, Illinois","17065","97.8"
"Henderson, Illinois","17071","97.8"
"Nuckolls, Nebraska","31129","97.8"
"Wayne, West Virginia","54099","97.8"
"Lincoln, Minnesota","27081","97.8"
"Greene, Indiana","18055","97.8"
"Warren, Indiana","18171","97.8"
"Decatur, Kansas","20039","97.8"
"Lewis, Kentucky","21135","97.8"
"Hancock, Tennessee","47067","97.8"
"Adair, Iowa","19001","97.8"
"Grainger, Tennessee","47057","97.8"
"Keokuk, Iowa","19107","97.8"
"Fentress, Tennessee","47049","97.8"
"Edgar, Illinois","17045","97.7"
"Lincoln, Kansas","20105","97.7"
"Atchison, Missouri","29005","97.7"
"Kittson, Minnesota","27069","97.7"
"Jerauld, South Dakota","46073","97.7"
"Van Buren, Iowa","19177","97.7"
"Mitchell, Iowa","19131","97.7"
"Monroe, Illinois","17133","97.7"
"Republic, Kansas","20157","97.7"
"Warren, Pennsylvania","42123","97.7"
"Delaware, Iowa","19055","97.7"
"Thomas, Nebraska","31171","97.7"
"Union, Tennessee","47173","97.7"
"Comanche, Kansas","20033","97.7"
"Leslie, Kentucky","21131","97.7"
"Marshall, Kentucky","21157","97.7"
"Roane, West Virginia","54087","97.7"
"Clay, Illinois","17025","97.7"
"Floyd, Kentucky","21071","97.6"
"Benton, Indiana","18007","97.6"
"Estill, Kentucky","21065","97.6"
"Antelope, Nebraska","31003","97.6"
"Butler, Iowa","19023","97.6"
"Armstrong, Pennsylvania","42005","97.6"
"Clinton, Kentucky","21053","97.6"
"Overton, Tennessee","47133","97.6"
"Carter, Kentucky","21043","97.6"
"Turner, South Dakota","46125","97.6"
"Bedford, Pennsylvania","42009","97.6"
"Calhoun, Illinois","17013","97.6"
"McLean, Kentucky","21149","97.6"
"Banner, Nebraska","31007","97.6"
"Polk, Nebraska","31143","97.5"
"Lewis, West Virginia","54041","97.5"
"Taylor, Wisconsin","55119","97.5"
"Brown, Nebraska","31017","97.5"
"Bollinger, Missouri","29017","97.5"
"Tucker, West Virginia","54093","97.5"
"Carter, Montana","30011","97.5"
"Scott, Indiana","18143","97.5"
"Greeley, Nebraska","31077","97.5"
"Lawrence, Kentucky","21127","97.5"
"Carroll, Ohio","39019","97.5"
"Darke, Ohio","39037","97.5"
"Emery, Utah","49015","97.5"
"Marshall, West Virginia","54051","97.5"
"Campbell, Tennessee","47013","97.5"
"Pierce, Nebraska","31139","97.5"
"Susquehanna, Pennsylvania","42115","97.5"
"Pike, Kentucky","21195","97.5"
"Benton, Iowa","19011","97.5"
"Keweenaw, Michigan","26083","97.5"
"Jackson, West Virginia","54035","97.5"
"Fountain, Indiana","18045","97.5"
"Morgan, Indiana","18109","97.5"
"Faribault, Minnesota","27043","97.4"
"Meeker, Minnesota","27093","97.4"
"Wyoming, West Virginia","54109","97.4"
"Dickinson, Iowa","19059","97.4"
"McCone, Montana","30055","97.4"
"Jasper, Illinois","17079","97.4"
"Mason, West Virginia","54053","97.4"
"Livingston, Kentucky","21139","97.4"
"Harrison, Iowa","19085","97.4"
"Hancock, Illinois","17067","97.4"
"Throckmorton, Texas","48447","97.4"
"Gentry, Missouri","29075","97.4"
"Jewell, Kansas","20089","97.4"
"Wetzel, West Virginia","54103","97.4"
"Schuyler, Missouri","29197","97.4"
"Clayton, Iowa","19043","97.4"
"Frontier, Nebraska","31063","97.4"
"Buchanan, Iowa","19019","97.4"
"Saunders, Nebraska","31155","97.4"
"Humboldt, Iowa","19091","97.4"
"Breathitt, Kentucky","21025","97.4"
"Cumberland, Illinois","17035","97.4"
"Union, Indiana","18161","97.4"
"Scotland, Missouri","29199","97.4"
"Carroll, Virginia","51035","97.4"
"Ouray, Colorado","8091","97.4"
"Nelson, North Dakota","38063","97.4"
"Sac, Iowa","19161","97.4"
"DeKalb, Indiana","18033","97.3"
"Vernon, Wisconsin","55123","97.3"
"Crawford, Indiana","18025","97.3"
"Cimarron, Oklahoma","40025","97.3"
"Effingham, Illinois","17049","97.3"
"Johnson, Kentucky","21115","97.3"
"Ohio, Kentucky","21183","97.3"
"Casey, Kentucky","21045","97.3"
"Perry, Missouri","29157","97.3"
"Russell, Virginia","51167","97.3"
"Iowa, Iowa","19095","97.3"
"Blackford, Indiana","18009","97.3"
"Jay, Indiana","18075","97.3"
"Potter, Pennsylvania","42105","97.3"
"Marshall, Illinois","17123","97.3"
"Stark, Illinois","17175","97.3"
"Gasconade, Missouri","29073","97.3"
"Madison, Iowa","19121","97.3"
"Clarke, Iowa","19039","97.2"
"Oneida, Idaho","16071","97.2"
"Mercer, Ohio","39107","97.2"
"Menard, Illinois","17129","97.2"
"Holt, Nebraska","31089","97.2"
"Ohio, Indiana","18115","97.2"
"Hocking, Ohio","39073","97.2"
"Huron, Michigan","26063","97.2"
"Grant, West Virginia","54023","97.2"
"Cedar, Iowa","19031","97.2"
"Mason, Illinois","17125","97.2"
"Guthrie, Iowa","19077","97.2"
"Kidder, North Dakota","38043","97.2"
"Perry, Ohio","39127","97.2"
"Daviess, Missouri","29061","97.2"
"Carroll, New Hampshire","33003","97.2"
"Audubon, Iowa","19009","97.2"
"Wyoming, Pennsylvania","42131","97.2"
"Pendleton, Kentucky","21191","97.2"
"Adams, Ohio","39001","97.2"
"Vinton, Ohio","39163","97.2"
"Ida, Iowa","19093","97.2"
"Appanoose, Iowa","19007","97.2"
"Jo Daviess, Illinois","17085","97.1"
"Preble, Ohio","39135","97.1"
"Piatt, Illinois","17147","97.1"
"Meigs, Ohio","39105","97.1"
"Cass, Iowa","19029","97.1"
"Worth, Missouri","29227","97.1"
"Rich, Utah","49033","97.1"
"Stoddard, Missouri","29207","97.1"
"Wayne, Iowa","19185","97.1"
"Brown, Ohio","39015","97.1"
"Gladwin, Michigan","26051","97.1"
"Rush, Indiana","18139","97.1"
"Steuben, Indiana","18151","97.1"
"Marshall, Minnesota","27089","97.1"
"Grant, Minnesota","27051","97.1"
"Ripley, Indiana","18137","97.1"
"Houston, Minnesota","27055","97.1"
"Jennings, Indiana","18079","97.1"
"Hampshire, West Virginia","54027","97.1"
"Sequatchie, Tennessee","47153","97.1"
"Loving, Texas","48301","97.1"
"Lafayette, Wisconsin","55065","97.1"
"Tioga, Pennsylvania","42117","97.1"
"Thayer, Nebraska","31169","97.1"
"Dearborn, Indiana","18029","97.1"
"Madison, Missouri","29123","97.1"
"Nicholas, West Virginia","54067","97.1"
"Mercer, Illinois","17131","97.0"
"McHenry, North Dakota","38049","97.0"
"Owen, Indiana","18119","97.0"
"Clark, Illinois","17023","97.0"
"Laurel, Kentucky","21125","97.0"
"Cleburne, Arkansas","5023","97.0"
"Perry, Pennsylvania","42099","97.0"
"Upshur, West Virginia","54097","97.0"
"Kossuth, Iowa","19109","97.0"
"Golden Valley, North Dakota","38033","97.0"
"Douglas, Minnesota","27041","97.0"
"Lincoln, Maine","23015","97.0"
"Wyandot, Ohio","39175","97.0"
"Franklin, Illinois","17055","97.0"
"Shelby, Iowa","19165","97.0"
"Stanton, Nebraska","31167","97.0"
"Alcona, Michigan","26001","97.0"
"Greene, Illinois","17061","97.0"
"Putnam, Illinois","17155","97.0"
"LaMoure, North Dakota","38045","97.0"
"Buffalo, Wisconsin","55011","97.0"
"Fillmore, Nebraska","31059","97.0"
"Edwards, Illinois","17047","97.0"
"Clark, Missouri","29045","97.0"
"Gray, Kansas","20069","97.0"
"Monroe, West Virginia","54063","97.0"
"Cumberland, Tennessee","47035","96.9"
"Nemaha, Kansas","20131","96.9"
"Bradford, Pennsylvania","42015","96.9"
"Butler, Kentucky","21031","96.9"
"Union, Georgia","13291","96.9"
"Bland, Virginia","51021","96.9"
"Jackson, Ohio","39079","96.9"
"Mifflin, Pennsylvania","42087","96.9"
"Oscoda, Michigan","26135","96.9"
"Pike, Indiana","18125","96.9"
"Macoupin, Illinois","17117","96.9"
"Mercer, Missouri","29129","96.9"
"Whitley, Indiana","18183","96.9"
"Marshall, Kansas","20117","96.9"
"Mitchell, Kansas","20123","96.9"
"Worth, Iowa","19195","96.9"
"Kewaunee, Wisconsin","55061","96.9"
"Lincoln, Wisconsin","55069","96.9"
"Coshocton, Ohio","39031","96.9"
"Morgan, West Virginia","54065","96.9"
"Union, Iowa","19175","96.9"
"Lyon, Iowa","19119","96.9"
"Washington, Nebraska","31177","96.9"
"Alpena, Michigan","26007","96.9"
"Greenup, Kentucky","21089","96.9"
"Judith Basin, Montana","30045","96.9"
"Fannin, Georgia","13111","96.9"
"Woodford, Illinois","17203","96.8"
"Hancock, Iowa","19081","96.8"
"Hamlin, South Dakota","46057","96.8"
"Venango, Pennsylvania","42121","96.8"
"Jackson, Iowa","19097","96.8"
"Noble, Indiana","18113","96.8"
"Custer, Nebraska","31041","96.8"
"Starke, Indiana","18149","96.8"
"Foster, North Dakota","38031","96.8"
"Adams, Indiana","18001","96.8"
"Jefferson, Nebraska","31095","96.8"
"Allamakee, Iowa","19005","96.8"
"Shelby, Missouri","29205","96.8"
"Pike, Illinois","17149","96.8"
"Brown, Indiana","18013","96.8"
"Carbon, Montana","30009","96.8"
"Newton, Indiana","18111","96.8"
"Lane, Kansas","20101","96.8"
"Clay, North Carolina","37043","96.8"
"Pope, Minnesota","27121","96.8"
"Lee, Kentucky","21129","96.8"
"Garrett, Maryland","24023","96.8"
"Whitley, Kentucky","21235","96.8"
"Vermillion, Indiana","18165","96.8"
"Kingman, Kansas","20095","96.8"
"Powell, Kentucky","21197","96.8"
"Spencer, Indiana","18147","96.8"
"Monona, Iowa","19133","96.8"
"Van Buren, Tennessee","47175","96.8"
"Bracken, Kentucky","21023","96.8"
"Winneshiek, Iowa","19191","96.8"
"Morrison, Minnesota","27097","96.7"
"Ralls, Missouri","29173","96.7"
"Washington, Illinois","17189","96.7"
"Hillsdale, Michigan","26059","96.7"
"Ringgold, Iowa","19159","96.7"
"Knox, Kentucky","21121","96.7"
"Crawford, Missouri","29055","96.7"
"Sanilac, Michigan","26151","96.7"
"Crawford, Ohio","39033","96.7"
"Butler, Nebraska","31023","96.7"
"Wayne, Missouri","29223","96.7"
"Ste. Genevieve, Missouri","29186","96.7"
"Geauga, Ohio","39055","96.7"
"Wayne, Illinois","17191","96.7"
"Gallatin, Illinois","17059","96.7"
"Switzerland, Indiana","18155","96.7"
"Auglaize, Ohio","39011","96.7"
"Somerset, Maine","23025","96.7"
"Clay, Nebraska","31035","96.7"
"Dolores, Colorado","8033","96.7"
"Linn, Missouri","29115","96.7"
"Clark, South Dakota","46025","96.7"
"Montmorency, Michigan","26119","96.7"
"Tuscarawas, Ohio","39157","96.7"
"Holt, Missouri","29087","96.7"
"Murray, Georgia","13213","96.7"
"Lewis, New York","36049","96.7"
"Clay, Kansas","20027","96.7"
