Mortality, US by State, All Races, All Malignant Cancers (Both Sexes), 2014 - 2018
Area,State FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Kentucky","21","191.19","189.51","192.89","51218"
"Mississippi","28","186.51","184.45","188.58","32623"
"West Virginia","54","184.30","181.91","186.72","23714"
"Oklahoma","40","179.40","177.64","181.17","40956"
"Arkansas","5","177.63","175.69","179.60","32892"
"Tennessee","47","177.36","176.03","178.69","71279"
"Louisiana","22","176.07","174.45","177.71","46895"
"Alabama","1","173.42","171.91","174.94","52101"
"Indiana","18","172.86","171.54","174.20","67395"
"Ohio","39","172.33","171.37","173.30","127145"
"Missouri","29","169.80","168.47","171.14","64739"
"Maine","23","169.20","166.56","171.87","16548"
"Michigan","26","165.89","164.86","166.92","104460"
"South Carolina","45","165.14","163.68","166.61","50957"
"Delaware","10","164.83","161.60","168.11","10292"
"Pennsylvania","42","163.43","162.56","164.30","142281"
"Vermont","50","162.79","158.87","166.78","6956"
"Illinois","17","161.67","160.75","162.60","121638"
"North Carolina","37","161.46","160.43","162.50","97331"
"Kansas","20","160.77","158.84","162.71","27775"
"Iowa","19","160.73","158.94","162.53","32325"
"District of Columbia","11","160.41","156.04","164.86","5333"
"Georgia","13","159.64","158.55","160.74","85345"
"Rhode Island","44","158.63","155.59","161.71","10969"
"Wisconsin","55","157.27","155.96","158.60","57089"
"Nevada","32","157.15","155.19","159.12","25720"
"Oregon","41","156.95","155.39","158.53","40276"
"South Dakota","46","156.86","153.43","160.36","8379"
"New Hampshire","33","155.98","153.32","158.68","13817"
"Virginia","51","155.68","154.55","156.82","74935"
"Maryland","24","155.08","153.75","156.43","53960"
"Nebraska","31","154.93","152.59","157.29","17468"
"Idaho","16","153.26","150.74","155.82","14596"
"Alaska","2","152.62","148.03","157.31","4828"
"Washington","53","151.91","150.70","153.13","62941"
"Montana","30","151.13","148.16","154.14","10410"
"Massachusetts","25","149.85","148.66","151.04","63823"
"Minnesota","27","149.12","147.78","150.47","49237"
"Texas","48","148.78","148.11","149.44","199695"
"New Jersey","34","148.40","147.36","149.44","81512"
"Florida","12","147.29","146.66","147.92","221915"
"North Dakota","38","147.04","143.39","150.77","6477"
"New York","36","144.74","144.05","145.43","175279"
"Connecticut","9","141.16","139.60","142.72","33063"
"California","6","140.30","139.79","140.82","297028"
"New Mexico","35","140.00","137.91","142.10","17920"
"Wyoming","56","139.45","135.41","143.58","4760"
"Arizona","4","137.88","136.76","139.01","59228"
"Colorado","8","133.89","132.52","135.26","38578"
"Hawaii","15","130.11","127.74","132.51","12217"
"Utah","49","123.86","121.90","125.84","15682"
