Mortality, US by County, All Races, Leukemia: Total (Both Sexes), 2014 - 2018
Area,County FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Bolivar, Mississippi","28011","9.07","5.10","14.96","16"
"Bureau, Illinois","17011","9.06","5.59","14.18","23"
"Dunn, Wisconsin","55033","9.06","5.53","14.05","21"
"Van Buren, Michigan","26159","9.04","6.43","12.41","41"
"Cecil, Maryland","24015","9.03","6.70","11.94","53"
"Pierce, Wisconsin","55093","9.03","5.44","14.16","20"
"Morgan, Missouri","29141","9.03","5.15","15.55","16"
"Laurens, Georgia","13175","9.02","5.77","13.50","25"
"Anderson, Texas","48001","9.00","5.94","13.11","28"
"Laclede, Missouri","29105","9.00","5.55","13.99","21"
"Oconto, Wisconsin","55083","8.99","5.57","13.95","23"
"Calumet, Wisconsin","55015","8.99","5.60","13.67","22"
"Cass, Michigan","26027","8.97","6.08","12.94","32"
"Pulaski, Missouri","29169","8.96","5.16","14.35","17"
"Lawrence, Ohio","39087","8.93","6.21","12.54","36"
"McKean, Pennsylvania","42083","8.93","5.72","13.46","26"
"Scotts Bluff, Nebraska","31157","8.92","5.62","13.66","24"
"Coryell, Texas","48099","8.91","5.68","13.20","25"
"Jackson, Alabama","1071","8.89","5.79","13.13","28"
"Murray, Georgia","13213","8.88","4.98","14.52","16"
"Pettis, Missouri","29159","8.87","5.51","13.60","22"
"Somerset, Maine","23025","8.87","5.86","13.03","29"
"Ionia, Michigan","26067","8.86","5.93","12.76","30"
"Pulaski, Kentucky","21199","8.86","6.23","12.34","38"
"Panola, Mississippi","28107","8.86","5.05","14.47","16"
"Muskogee, Oklahoma","40101","8.86","6.23","12.29","38"
"Lyon, Minnesota","27083","8.85","4.95","14.88","16"
"Morrison, Minnesota","27097","8.82","5.39","13.89","21"
"Fayette, West Virginia","54019","8.81","5.71","13.15","27"
"Lake, Montana","30047","8.81","5.33","14.09","20"
"Juneau, Wisconsin","55057","8.81","5.08","14.64","17"
"Washington, Louisiana","22117","8.81","5.76","13.04","27"
"McLeod, Minnesota","27085","8.78","5.16","14.04","19"
"Comanche, Oklahoma","40031","8.78","6.50","11.60","50"
"Warren, New York","36113","8.76","6.33","12.00","44"
"Hall, Nebraska","31079","8.75","5.95","12.48","32"
"Franklin, North Carolina","37069","8.73","5.89","12.51","31"
"Columbia, Oregon","41009","8.72","5.81","12.71","30"
"Douglas, Minnesota","27041","8.71","5.59","13.25","27"
"Mower, Minnesota","27099","8.69","5.57","13.14","26"
"Culpeper, Virginia","51047","8.68","5.57","12.97","25"
"Howell, Missouri","29091","8.67","5.49","13.19","24"
"Franklin, Missouri","29071","8.67","6.45","11.44","53"
"Wicomico, Maryland","24045","8.67","6.40","11.51","50"
"Boyd, Kentucky","21019","8.66","5.74","12.70","29"
"Park, Wyoming","56029","8.66","5.16","14.04","20"
"Saline, Kansas","20169","8.65","5.87","12.41","32"
"Sandusky, Ohio","39143","8.65","5.88","12.37","32"
"Martin, North Carolina","37117","8.65","4.89","14.78","16"
"Hamblen, Tennessee","47063","8.65","6.03","12.12","36"
"Huron, Ohio","39077","8.65","5.82","12.46","31"
"Ashe, North Carolina","37009","8.65","4.94","14.53","18"
"Monroe, Michigan","26115","8.64","6.86","10.77","84"
"Clinton, Pennsylvania","42035","8.64","5.51","13.14","24"
"Siskiyou, California","6093","8.63","5.59","12.97","29"
"Dickinson, Iowa","19059","8.63","4.90","15.47","16"
"Walker, Alabama","1127","8.57","5.83","12.20","34"
"Greene, Arkansas","5055","8.56","5.40","12.99","23"
"Perry, Pennsylvania","42099","8.55","5.37","13.01","24"
"Blue Earth, Minnesota","27013","8.54","5.83","12.17","33"
"Lee, Illinois","17103","8.54","5.24","13.42","21"
"Henderson, Kentucky","21101","8.54","5.48","12.82","25"
"Jim Wells, Texas","48249","8.53","5.00","13.59","18"
"Kershaw, South Carolina","45055","8.53","5.93","11.96","36"
"Ashtabula, Ohio","39007","8.52","6.38","11.21","56"
"Bonner, Idaho","16017","8.51","5.35","13.05","25"
"Washington, Maine","23029","8.49","5.28","13.40","22"
"Fayette, Tennessee","47047","8.48","5.37","12.98","24"
"Daviess, Kentucky","21059","8.48","6.28","11.22","51"
"Lackawanna, Pennsylvania","42069","8.48","7.01","10.19","127"
"Wood, Ohio","39173","8.48","6.47","10.93","63"
"Klamath, Oregon","41035","8.47","5.93","11.83","38"
"Linn, Oregon","41043","8.46","6.51","10.85","66"
"Pontotoc, Oklahoma","40123","8.46","5.15","13.25","20"
"Jefferson, Tennessee","47089","8.46","5.62","12.36","30"
"Pike, Pennsylvania","42103","8.45","5.63","12.37","34"
"Kendall, Illinois","17093","8.45","5.92","11.62","39"
"Tangipahoa, Louisiana","22105","8.45","6.27","11.11","52"
"Clare, Michigan","26035","8.44","5.21","13.41","21"
"Evangeline, Louisiana","22039","8.44","4.81","13.85","16"
"Warren, Virginia","51187","8.42","4.95","13.45","18"
"Colbert, Alabama","1033","8.42","5.63","12.22","31"
"Ross, Ohio","39141","8.41","5.96","11.59","39"
"Dorchester, Maryland","24019","8.41","4.83","13.80","18"
"Waldo, Maine","23027","8.37","5.18","13.02","23"
"St. Joseph, Michigan","26149","8.35","5.65","11.98","32"
"Cabell, West Virginia","54011","8.34","6.18","11.06","52"
"Gratiot, Michigan","26057","8.34","4.99","13.16","20"
"Berkeley, West Virginia","54003","8.34","6.11","11.12","49"
"Newton, Missouri","29145","8.33","5.61","12.00","31"
"Ottawa, Michigan","26139","8.33","6.91","9.96","125"
"Hawkins, Tennessee","47073","8.32","5.66","11.95","33"
"Oklahoma, Oklahoma","40109","8.31","7.42","9.28","328"
"Cowley, Kansas","20035","8.30","4.96","13.22","20"
"Limestone, Alabama","1083","8.29","5.96","11.25","43"
"Wood, Texas","48499","8.29","4.98","13.05","25"
"Auglaize, Ohio","39011","8.28","5.28","12.48","25"
"Seneca, New York","36099","8.28","4.80","13.47","18"
"Columbia, Wisconsin","55021","8.27","5.45","12.09","29"
"Hunt, Texas","48231","8.25","5.95","11.18","43"
"Marion, Tennessee","47115","8.24","4.63","13.84","16"
"Grant, Indiana","18053","8.24","5.74","11.57","37"
"Adams, Wisconsin","55001","8.24","4.68","14.85","16"
"Shawano, Wisconsin","55115","8.24","5.34","12.41","26"
"Lincoln, Mississippi","28085","8.24","4.66","13.56","16"
"Carlton, Minnesota","27017","8.23","4.81","13.29","18"
"Gloucester, Virginia","51073","8.22","4.99","12.98","20"
"Monroe, Wisconsin","55081","8.22","5.21","12.46","24"
"Matagorda, Texas","48321","8.22","4.71","13.38","17"
"Douglas, Wisconsin","55031","8.21","5.16","12.56","23"
"Vilas, Wisconsin","55125","8.21","4.89","14.26","19"
"Bristol, Rhode Island","44001","8.21","5.26","12.39","27"
"Halifax, North Carolina","37083","8.21","5.29","12.26","27"
"Gillespie, Texas","48171","8.20","4.73","13.83","21"
"Onslow, North Carolina","37133","8.19","6.12","10.71","55"
"Coshocton, Ohio","39031","8.19","4.83","13.13","19"
"Newport, Rhode Island","44005","8.19","6.05","10.97","52"
"Adams, Illinois","17001","8.19","5.90","11.23","44"
"Clarion, Pennsylvania","42031","8.19","5.02","12.83","22"
"Harrisonburg, Virginia","51660","8.18","4.68","13.23","17"
"Aiken, South Carolina","45003","8.16","6.50","10.14","88"
"Warren, Mississippi","28149","8.16","5.00","12.61","21"
"Bradley, Tennessee","47011","8.16","6.11","10.73","54"
"Vermilion, Illinois","17183","8.16","5.87","11.14","43"
"Saginaw, Michigan","26145","8.15","6.64","9.94","105"
"Mason, Michigan","26105","8.15","4.53","13.81","17"
"Person, North Carolina","37145","8.15","4.88","12.91","20"
"Platte, Missouri","29165","8.15","5.78","11.15","40"
"Floyd, Kentucky","21071","8.14","4.80","13.06","19"
"Clinton, Illinois","17027","8.14","4.88","12.91","19"
"Jackson, West Virginia","54035","8.14","4.61","13.60","16"
"Lincoln, Nebraska","31111","8.14","4.71","13.20","18"
