Mortality, US by State, All Races, Breast (Female), 2014 - 2018
Area,State FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"District of Columbia","11","26.20","23.87","28.69","492"
"Mississippi","28","23.17","22.19","24.18","2205"
"Louisiana","22","22.82","22.03","23.64","3291"
"Oklahoma","40","22.66","21.80","23.54","2757"
"Tennessee","47","21.95","21.32","22.60","4776"
"West Virginia","54","21.94","20.78","23.15","1467"
"Ohio","39","21.88","21.41","22.37","8728"
"Maryland","24","21.73","21.06","22.42","4211"
"South Carolina","45","21.63","20.90","22.38","3574"
"Georgia","13","21.60","21.07","22.15","6427"
"Nevada","32","21.60","20.60","22.63","1827"
"Alabama","1","21.54","20.81","22.29","3499"
"Idaho","16","21.54","20.24","22.91","1075"
"Virginia","51","21.46","20.89","22.04","5679"
"Delaware","10","21.44","19.85","23.13","718"
"Illinois","17","21.03","20.58","21.49","8699"
"Pennsylvania","42","21.01","20.58","21.45","9899"
"Kentucky","21","20.95","20.19","21.74","3020"
"Missouri","29","20.93","20.29","21.59","4301"
"North Carolina","37","20.89","20.39","21.40","6881"
"New Jersey","34","20.86","20.33","21.39","6370"
"Michigan","26","20.83","20.33","21.34","7032"
"Indiana","18","20.76","20.13","21.40","4409"
"Arkansas","5","20.33","19.42","21.27","2000"
"Utah","49","20.06","18.99","21.17","1358"
"Texas","48","19.84","19.52","20.17","14659"
"Kansas","20","19.81","18.89","20.77","1850"
"Oregon","41","19.73","18.97","20.51","2705"
"New Mexico","35","19.72","18.65","20.85","1344"
"Washington","53","19.71","19.12","20.32","4410"
"Nebraska","31","19.57","18.43","20.76","1193"
"California","6","19.35","19.09","19.61","22391"
"New York","36","19.08","18.74","19.42","12742"
"South Dakota","46","18.95","17.29","20.73","532"
"Montana","30","18.92","17.46","20.47","673"
"Colorado","8","18.90","18.22","19.61","2977"
"Wisconsin","55","18.85","18.22","19.50","3645"
"Florida","12","18.82","18.50","19.14","14582"
"Alaska","2","18.80","16.70","21.09","320"
"Iowa","19","18.57","17.73","19.45","1984"
"Arizona","4","18.47","17.89","19.06","4101"
"New Hampshire","33","18.33","17.09","19.64","875"
"Wyoming","56","18.23","16.23","20.42","321"
"Vermont","50","18.03","16.27","19.96","414"
"Maine","23","17.97","16.79","19.22","944"
"North Dakota","38","17.97","16.19","19.90","412"
"Minnesota","27","17.68","17.05","18.33","3153"
"Rhode Island","44","17.62","16.24","19.09","666"
"Connecticut","9","17.43","16.69","18.21","2232"
"Massachusetts","25","17.29","16.74","17.85","4079"
"Hawaii","15","16.07","14.92","17.30","787"
