fips,total_hospitals
16007,1
16009,1
16011,3
16013,1
16017,1
16019,3
16021,1
16023,1
16027,4
16029,1
16031,1
16035,2
16039,2
16041,1
16045,1
16047,1
16049,2
16053,1
16055,5
16057,1
16059,1
16065,1
16067,1
16069,2
16071,1
16077,1
16079,1
16081,1
16083,1
16085,2
16087,1
17001,1
17005,1
17007,1
17011,2
17019,3
17021,2
17025,1
17027,1
17029,1
17031,73
17033,1
17037,3
17039,1
17043,8
17045,1
17049,1
17051,1
17053,1
17055,1
17057,1
17061,1
17063,1
17065,1
17067,1
17069,1
17073,2
17075,1
17077,2
17081,2
17083,1
17085,1
17089,5
17091,2
17095,2
17097,8
17099,4
17101,1
17103,1
17105,1
17107,1
17109,1
17111,5
17113,2
17115,2
17117,2
17119,7
17121,2
17125,1
17127,1
17131,1
17135,2
17137,1
17141,1
17143,4
17145,2
17147,1
17149,1
17157,3
17159,1
17161,3
17163,4
17165,2
17167,4
17169,1
17173,1
17177,1
17179,2
17181,1
17183,3
17185,1
17187,1
17189,1
17191,1
17195,2
17197,5
17199,3
17201,5
17203,1
18001,1
18003,15
18005,1
18009,1
18011,1
18017,3
18019,6
18021,1
18023,1
18027,2
18029,3
18031,1
18033,2
18035,4
18037,1
18039,3
18041,2
18043,4
18049,1
18051,1
18053,4
18055,1
18057,9
18059,1
18061,1
18063,3
18065,1
18067,3
18069,2
18071,1
18073,1
18075,1
18077,2
18079,1
18081,3
18083,1
18085,3
18087,2
18089,17
18091,5
18093,2
18095,5
18097,25
18099,6
18103,1
18105,3
18107,1
18109,2
18113,2
18117,1
18123,1
18127,3
18131,1
18133,1
18135,1
18137,2
18139,1
18141,8
18143,1
18145,1
18149,1
18151,1
18153,1
18157,7
18159,1
18163,8
18165,1
18167,5
18169,1
18171,1
18173,6
18175,1
18177,2
18179,1
18181,2
18183,1
19001,1
19003,1
19005,1
19007,1
19009,1
19011,1
19013,4
19015,1
19017,2
19019,2
19021,1
19025,1
19027,2
19029,1
19033,2
19035,2
19037,1
19039,1
19041,1
19043,2
19045,3
19047,1
19049,2
19051,1
19053,1
19055,1
19057,1
19059,1
19061,3
19063,1
19065,2
19067,1
19069,1
19071,1
19073,1
19075,1
19077,2
19079,1
19081,1
19083,2
19085,1
19087,2
19089,1
19091,1
19093,1
19095,1
19097,1
19099,1
19101,1
19103,6
19105,2
19107,1
19109,1
19111,2
19113,3
19117,1
19119,2
19121,1
19123,1
19125,3
19127,1
19129,1
19131,1
19133,1
19135,1
19137,1
19139,1
19141,2
19143,1
19145,3
19147,1
19149,1
19151,1
19153,9
19155,2
19157,1
19159,1
19161,1
19163,6
19165,1
19167,5
19169,4
19175,1
19177,1
19179,1
19183,1
19185,1
19187,1
19191,1
19193,3
19197,2
20001,2
20003,1
20005,1
20007,3
20009,3
20011,1
20013,2
20015,2
20019,1
20021,2
20023,1
20025,2
20027,1
20029,1
20031,2
20033,1
20035,2
20037,2
20039,1
20041,2
20045,1
20047,1
20051,1
20053,1
20055,1
20057,1
20059,1
20061,2
20063,1
20065,1
20067,1
20071,1
20073,1
20075,1
20077,3
20079,2
20081,1
20083,1
20085,1
20087,2
20089,1
20091,19
20093,1
20095,1
20097,1
20099,3
20101,1
20103,4
20105,1
20109,1
20111,1
20113,3
20115,3
20117,1
20119,1
20121,3
20123,1
20125,2
20127,1
20129,1
20131,2
20133,1
20135,2
20137,1
20141,1
20143,1
20145,2
20147,1
20149,3
20151,1
20153,1
20155,2
20157,1
20159,1
20161,3
20163,1
20165,1
20167,1
20169,2
20171,1
20173,15
20175,1
20177,6
20179,1
20181,1
20183,1
20185,1
20187,1
20189,1
20191,2
20193,1
20195,1
20201,2
20203,1
20205,2
20209,5
21001,1
21003,1
21009,1
21013,2
21015,2
21017,1
21019,1
21021,1
21025,1
21027,1
21033,1
21035,1
21037,2
21041,1
21045,1
21047,4
21049,1
21051,1
21053,1
21055,1
21057,1
21059,3
21065,1
21067,11
21069,1
21071,3
21073,1
21075,1
21081,1
21083,1
21085,1
21087,1
21089,1
21093,4
21095,1
21097,1
21099,1
21101,1
21107,1
21111,16
21115,1
21117,6
21121,1
21125,1
21127,1
21131,1
21133,1
21137,1
21139,1
21141,1
21145,2
21151,2
21155,1
21157,1
21161,1
21167,1
21171,1
21173,1
21175,1
21177,1
21179,1
21181,1
21183,1
21185,2
21187,1
21193,1
21195,2
21199,1
21203,1
21205,1
21207,1
21209,1
21211,2
21213,2
21217,1
21221,1
21225,2
21227,4
21231,1
21235,1
21239,1
22001,4
22003,2
22005,5
22007,1
22009,3
22011,2
22013,1
22015,6
22017,16
22019,12
22021,2
22023,1
22027,1
22029,3
22031,1
22033,21
22035,1
22037,4
22039,2
22041,1
22045,3
22047,2
22049,1
22051,17
22053,4
22055,19
22057,3
22059,2
22061,4
22063,1
22065,1
22067,3
22069,2
22071,15
22073,9
22077,1
22079,14
22081,2
22083,2
22085,1
22087,1
22089,1
22091,1
22093,2
22095,1
22097,6
22099,2
22101,2
22103,16
22105,11
22109,5
22111,3
22113,2
22115,5
22117,4
22119,2
22123,1
22125,1
22127,3
23001,2
23003,4
23005,9
23007,1
23009,4
23011,7
23013,1
23015,2
23017,2
23019,6
23021,2
23025,2
23027,1
23029,2
23031,4
24001,2
24003,4
24005,7
24009,1
24013,2
24015,1
24017,1
24019,3
24021,1
24023,1
24025,2
24027,4
24029,1
24031,10
24033,7
24037,1
24039,1
24041,1
24043,3
24045,3
24047,1
24510,18
25001,5
25003,5
25005,11
25007,2
25009,15
25011,1
25013,10
25015,4
25017,25
25019,1
25021,14
25023,8
25025,25
25027,18
26003,1
26005,2
26007,2
26011,1
26013,1
26015,1
26017,4
26019,1
26021,4
26023,2
26025,7
26027,1
26029,1
26033,2
26035,1
26037,3
26039,1
26041,1
26043,2
26045,2
26047,1
26049,6
26051,1
26053,1
26055,2
26057,2
26059,2
26061,2
26063,3
26065,7
26067,2
26069,1
26071,1
26073,1
26075,3
26077,3
26079,1
26081,10
26087,2
26091,2
26093,2
26095,1
26097,1
26099,9
26101,1
26103,4
26105,1
26107,1
26111,2
26115,2
26117,4
26121,4
26123,1
26125,28
26127,1
26129,1
26131,1
26133,1
26137,1
26139,4
26141,1
26145,9
26147,4
26149,2
26151,3
26153,2
26155,2
26157,2
26159,3
26161,9
26163,36
26165,1
27001,1
27003,3
27005,1
27007,3
27011,2
27013,1
27015,2
27017,2
27019,1
27021,1
27023,1
27025,1
27029,1
27031,1
27033,2
27035,3
27037,3
27041,2
27043,1
27047,1
27049,3
27051,2
27053,15
27057,1
27059,1
27061,3
27063,1
27065,1
27067,2
27069,1
27071,1
27073,2
27075,1
27077,1
27079,1
27081,2
27083,2
27085,2
27087,1
27089,2
27091,1
27093,1
27095,1
27097,1
27099,1
27101,1
27103,1
27105,1
27107,1
27109,4
27111,3
27113,2
27115,3
27117,1
27119,2
27121,1
27123,6
27127,1
27129,2
27131,1
27133,1
27135,1
27137,8
27139,2
27141,1
27143,1
27145,5
27147,2
27149,1
27151,2
27153,2
27155,1
27157,1
27159,1
27161,1
27163,2
27165,2
27167,1
27169,1
27171,3
27173,2
28001,2
28003,1
28005,1
28007,1
28011,1
28013,1
28017,1
28019,2
28021,1
28023,1
28025,1
28027,1
28029,2
28031,1
28033,3
28035,2
28037,1
28039,1
28041,1
28043,1
28045,1
28047,10
28049,8
28051,1
28053,1
28059,2
28061,1
28063,1
28065,1
28067,1
28069,1
28071,2
28073,2
28075,7
28077,1
28079,1
28081,3
28083,2
28085,1
28087,2
28089,1
28091,1
28093,1
28095,2
28097,1
28099,2
28101,2
28103,1
28105,1
28107,1
28109,2
28111,1
28113,2
28115,1
28117,1
28119,1
28121,8
28123,2
28125,1
28127,2
28129,1
28131,1
28133,4
28135,1
28137,1
28139,1
28141,1
28145,1
28147,1
28149,2
28151,3
28153,1
28155,1
28157,1
28159,2
28161,1
28163,1
29001,1
29005,1
29007,1
29009,2
29011,1
29013,1
29019,9
29021,3
29023,4
29027,2
29029,2
29031,4
29033,1
29037,2
29039,2
29047,7
29049,1
29051,2
29053,1
29055,1
29065,1
29069,1
29071,1
29073,1
29075,1
29077,9
29079,1
29081,1
29083,2
29091,2
29093,1
29095,19
29097,3
29099,1
29101,2
29105,1
29107,1
29109,2
29113,1
29115,1
29117,1
29121,1
29123,1
29127,1
29145,5
29147,1
29155,1
29157,1
29159,1
29161,1
29163,1
29165,1
29167,1
29169,1
29171,1
29175,1
29177,1
29179,1
29181,1
29183,9
29185,1
29186,1
29187,4
29189,20
29195,2
29199,1
29201,1
29207,1
29211,1
29213,1
29215,1
29217,2
29221,1
29510,16
30001,1
30003,2
30005,1
30007,1
30009,1
30011,1
30013,4
30015,2
30017,1
30019,1
30021,1
30023,2
30025,1
30027,1
30029,3
30031,2
30033,1
30035,2
30039,1
30041,1
30047,2
30049,3
30051,1
30053,1
30055,1
30057,2
30059,1
30061,1
30063,2
30065,1
30067,2
30071,1
30073,1
30077,1
30079,1
30081,1
30083,1
30085,3
30087,1
30089,1
30091,1
30093,2
30095,1
30097,1
30099,1
30101,1
30105,1
30107,1
30111,5
31001,1
31003,2
31011,1
31013,1
31015,1
31017,1
31019,3
31021,1
31023,1
31029,1
31031,1
31033,2
31037,1
31039,1
31041,2
31045,1
31047,3
31053,1
31055,19
31057,1
31059,1
31061,1
31065,1
31067,1
31069,1
31079,4
31081,1
31083,1
31089,2
31093,1
31095,1
31097,1
31099,1
31101,1
31105,1
31107,1
31109,11
31111,1
31119,3
31121,1
31123,1
31125,1
31127,1
31129,1
31131,3
31133,1
31135,1
31137,1
31139,2
31141,1
31143,1
31145,1
31147,1
31149,1
31151,2
31153,4
31155,1
31157,1
31159,1
31161,1
31169,1
31173,2
31175,1
31177,1
31179,1
31181,1
31185,2
32001,1
32003,48
32005,2
32007,2
32013,1
32015,1
32017,1
32019,3
32021,1
32023,2
32027,1
32031,16
32033,1
32510,4
33001,1
33003,2
33005,1
33007,3
33009,5
33011,11
33013,4
33015,7
33017,3
33019,1
34001,9
34003,10
34005,10
34007,10
34009,1
34011,4
34013,15
34015,5
34017,9
34019,1
34021,9
34023,16
34025,8
34027,12
34029,10
34031,7
34033,2
34035,5
34037,3
34039,10
34041,3
35001,23
35005,3
35006,2
35007,1
35009,3
35013,7
35015,2
35017,1
35019,1
35025,2
35027,2
35028,1
35029,1
35031,5
35035,4
35037,2
35039,1
35041,1
35043,3
35045,4
35047,2
35049,5
35051,1
35053,1
35055,1
35059,1
36001,7
36003,2
36005,15
36007,4
36009,1
36011,1
36013,5
36015,3
36017,1
36019,1
36021,1
36023,1
36025,4
36027,5
36029,16
36031,3
36033,2
36035,1
36037,3
36043,1
36045,4
36047,18
36049,1
36051,1
36053,2
36055,8
36057,2
36059,13
36061,29
36063,5
36065,8
36067,7
36069,4
36071,7
36073,1
36075,3
36077,2
36079,1
36081,13
36083,3
36085,6
36087,4
36089,5
36091,2
36093,4
36095,1
36097,1
36101,5
36103,15
36105,2
36109,1
36111,3
36113,1
36117,1
36119,18
36121,1
36123,1
37001,1
37003,1
37005,1
37007,1
37009,1
37011,1
37013,1
37015,1
37017,1
37019,4
37021,4
37023,2
37025,2
37027,1
37031,1
37035,2
37037,1
37039,1
37041,1
37045,3
37047,1
37049,1
37051,4
37055,1
37057,2
37059,2
37061,1
37063,7
37065,1
37067,6
37069,1
37071,2
37077,1
37081,8
37083,1
37085,3
37087,1
37089,2
37091,1
37093,2
37097,3
37099,1
37101,1
37105,1
37107,1
37109,1
37111,1
37113,2
37117,1
37119,14
37121,1
37123,1
37125,2
37127,2
37129,3
37133,3
37135,1
37139,1
37141,1
37145,1
37147,1
37149,1
37151,1
37153,2
37155,1
37157,2
37159,2
37161,1
37163,1
37165,1
37167,1
37169,1
37171,2
37173,3
37175,1
37179,1
37181,1
37183,8
37187,1
37189,1
37191,1
37193,1
37195,1
37197,1
38001,1
38003,1
38009,1
38011,1
38015,2
38017,9
38019,1
38021,1
38023,1
38029,1
38031,1
38035,6
38037,1
38039,1
38051,2
38053,1
38055,2
38057,1
38059,1
38061,1
38063,1
38067,1
38069,1
38071,1
38073,1
38079,3
38085,2
38089,2
38093,2
38095,1
38097,2
38099,2
38101,4
38103,1
38105,2
39001,1
39003,5
39005,1
39007,5
39009,3
39011,1
39013,3
39015,1
39017,9
39021,1
39023,5
39025,1
39027,2
39029,3
39031,1
39033,2
39035,31
39037,1
39039,3
39041,3
39043,2
39045,3
39047,1
39049,29
39051,1
39053,1
39055,2
39057,3
39059,2
39061,28
39063,2
39065,1
39067,1
39069,1
39071,2
39073,1
39075,1
39077,2
39079,1
39081,3
39083,1
39085,4
39089,3
39091,1
39093,8
39095,17
39097,1
39099,7
39101,1
39103,3
39107,1
39109,2
39113,18
39117,2
39119,1
39123,1
39125,1
39129,1
39131,1
39133,1
39139,4
39141,2
39143,3
39145,2
39147,3
39149,1
39151,9
39153,13
39155,6
39157,2
39159,1
39161,2
39165,4
39167,2
39169,2
39171,2
39173,2
39175,1
40001,2
40005,1
40007,1
40009,3
40011,2
40013,1
40015,2
40017,2
40019,4
40021,4
40023,2
40025,1
40027,8
40029,1
40031,8
40035,1
40037,3
40039,3
40041,1
40043,1
40045,1
40047,4
40049,2
40051,1
40055,1
40057,1
40059,1
40061,1
40063,1
40065,1
40067,1
40069,1
40071,2
40073,1
40075,1
40077,2
40079,2
40081,2
40083,1
40085,1
40087,1
40089,1
40091,1
40093,1
40095,1
40097,1
40099,1
40101,6
40103,1
40105,1
40107,2
40109,40
40111,4
40113,2
40115,2
40117,1
40119,4
40121,4
