fips,cancer_incidence_rate_per_100000,cancer_mortality_rate_per_100000,breast_cancer_incidence_rate_per_100000,breast_cancer_mortality_rate_per_100000,cervical_cancer_incidence_rate_per_100000,cervical_cancer_mortality_rate_per_100000,colorectal_cancer_incidence_rate_per_100000,colorectal_cancer_mortality_rate_per_100000,lung_cancer_incidence_rate_per_100000,lung_cancer_mortality_rate_per_100000,prostate_cancer_incidence_rate_per_100000,prostate_cancer_mortality_rate_per_100000,melanoma_cancer_incidence_rate_per_100000,melanoma_cancer_mortality_rate_per_100000,colorectal_screening_percent,smoking_percent,hpv_vaccine_percent
23,474.3,169.2,127.4,17.97,5.9,1.57,36.7,12.88,72.1,46.67,88.1,19.23,26.2,2.56,81.43,49.73,33.7
24,453.8,155.08,132.9,21.73,6.6,1.93,36.4,13.7,56.4,37.22,124.7,20.02,24.0,1.87,78.9,36.02,42.2
25,452.7,149.85,137.9,17.29,5.2,1.08,35.2,11.59,61.2,37.11,102.4,18.34,22.2,2.32,80.93,38.5,45.4
26,448.8,165.89,122.6,20.83,6.7,1.97,37.5,13.71,63.3,44.12,106.4,18.68,20.1,2.2,80.22,45.38,39.0
27,467.4,149.12,132.5,17.68,5.5,1.29,38.0,12.21,56.1,35.18,108.9,19.88,31.7,2.17,79.34,41.05,39.4
28,470.6,186.51,118.0,23.17,9.4,3.27,47.9,18.01,74.9,52.77,128.1,24.43,17.8,2.19,69.66,42.85,19.1
29,454.9,169.8,130.5,20.93,8.0,2.4,40.5,14.48,72.0,48.67,91.4,17.64,19.5,2.58,75.46,44.08,26.1
30,459.7,151.13,128.5,18.92,6.8,1.56,38.3,13.14,53.7,35.93,118.4,22.29,27.5,2.65,72.01,44.48,31.9
31,461.9,154.93,127.4,19.57,7.8,2.22,42.7,14.73,57.2,37.88,116.9,18.09,26.4,2.51,74.88,39.73,44.9
32,397.2,157.15,113.5,21.6,9.0,2.59,36.0,15.86,53.3,39.29,85.5,19.04,16.9,2.57,67.62,41.46,35.9
33,482.4,155.98,144.7,18.33,4.7,1.33,36.6,12.52,63.7,41.08,109.2,18.62,32.1,2.76,81.62,45.18,38.6
34,485.9,148.4,136.6,20.86,7.7,2.07,40.8,13.73,55.3,33.66,131.3,17.62,22.2,2.07,72.6,37.06,30.0
35,374.9,140.0,111.8,19.72,8.2,2.26,33.1,13.3,38.5,26.84,82.8,19.31,16.0,2.25,69.91,40.71,38.6
36,485.2,144.74,132.8,19.08,7.8,2.11,38.7,12.6,58.7,33.59,125.0,17.82,18.3,1.73,75.79,36.31,41.7
37,468.4,161.46,134.0,20.89,7.1,2.02,37.0,13.33,67.7,44.1,117.4,19.87,26.0,2.31,77.08,43.03,33.5
38,453.8,147.04,128.6,17.97,5.5,1.21,43.1,13.03,57.7,35.07,113.5,19.32,23.6,2.09,73.19,42.73,50.9
39,465.3,172.33,128.9,21.88,7.9,2.26,41.4,15.14,67.9,46.72,104.2,19.31,23.8,2.65,74.42,45.77,31.2
40,449.8,179.4,122.8,22.66,9.2,3.21,41.7,16.71,67.4,50.0,93.9,20.11,22.2,2.77,70.26,44.52,26.9
41,434.3,156.95,125.5,19.73,7.0,2.06,34.6,12.76,54.1,36.62,93.3,20.87,27.5,2.5,78.71,43.12,36.6
42,484.6,163.43,132.3,21.01,7.3,2.05,41.1,14.54,63.5,40.76,103.7,18.57,24.3,2.45,75.73,42.86,37.7
44,473.6,158.63,137.9,17.62,7.1,1.51,33.6,12.34,70.3,42.24,98.6,18.21,23.7,2.34,80.64,42.16,52.9
45,454.1,165.14,129.9,21.63,7.9,2.49,37.8,13.96,64.4,42.72,114.5,21.49,23.6,2.17,77.34,43.59,28.0
